Source Term ID	Source Term	t2t.Mapping	t2t.MappingLabel	Benchmark.Mapping	Benchmark.MappingLabel	Classification	IsDisease	IsMeasurement	IsPhenotype	IsAmount	IsProcess			Total	%	IsDisease	IsMeasurement	IsPhenotype	IsAmount	IsProcess	
FRx3rJTxNj	Histoplasmosis	EFO:0007310	histoplasmosis	EFO:0007310	histoplasmosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
Cjeuyew5n9	Infectious mononucleosis	EFO:0007326	infectious mononucleosis	EFO:0007326	infectious mononucleosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
KdhZjBawYX	Leptospirosis	EFO:0007344	leptospirosis	EFO:0007344	leptospirosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
m24dCobZyz	Listeriosis	EFO:0007347	listeriosis	EFO:0007347	listeriosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
FJcW4irmxt	Miliary tuberculosis	EFO:0007368	miliary tuberculosis	EFO:0007368	miliary tuberculosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
Md6PCxSVT2	Myiasis	EFO:0007389	myiasis	EFO:0007389	myiasis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
3o6YLctKPi	Optic neuritis	EFO:0007405	optic neuritis	EFO:0007405	optic neuritis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
JMUjbfLKvm	Placenta praevia	EFO:0007442	placenta praevia	EFO:0007442	placenta praevia	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
RwFECEBHpM	Plasmodium falciparum malaria	EFO:0007444	Plasmodium falciparum malaria	EFO:0007444	Plasmodium falciparum malaria	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
Wk5uUFeTEf	Plasmodium vivax malaria	EFO:0007445	Plasmodium vivax malaria	EFO:0007445	Plasmodium vivax malaria	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
V5oxXSfC4T	Acute poliomyelitis	EFO:0007450	poliomyelitis	EFO:0007450	poliomyelitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
uJwjCqcDXQ	Scarlet fever	EFO:0007477	scarlet fever	EFO:0007477	scarlet fever	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
Jbm3LscudE	Strongyloidiasis	EFO:0007501	strongyloidiasis	EFO:0007501	strongyloidiasis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
cCh9F4ZRcK	Suppurative and unspecified otitis media	EFO:0007503	suppurative otitis media	EFO:0007503	suppurative otitis media	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
tJgVr7Kigh	other syphilis	EFO:0007504	syphilis	EFO:0007504	syphilis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
5Spmyhhhv2	Toxoplasmosis	EFO:0007517	toxoplasmosis	EFO:0007517	toxoplasmosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
kbzJhNdRKD	Yaws	EFO:0007548	yaws	EFO:0007548	yaws	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
CmcF4Usyzi	Status epilepticus	EFO:0008526	status epilepticus	EFO:0008526	status epilepticus	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
KpezWbqebK	Fracture of femur	EFO:0008553	femur fracture	EFO:0008553	femur fracture	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
XQ2WZ4X7YB	Diaphragmatic hernia	EFO:0008561	diaphragmatic hernia	EFO:0008561	diaphragmatic hernia	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
KQGoR8fir6	Niacin deficiency	EFO:0008570	Vitamin B3 deficiency	EFO:0008570	vitamin B3 deficiency	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
ZNcuSeiBVP	Gangrene	EFO:0008574	gangrene	EFO:0008574	gangrene	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
PvSdteghk7	Acute myocardial infarction	EFO:0008583	acute myocardial infarction	EFO:0008583	acute myocardial infarction	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
usxtPxM6yz	Subsequent myocardial infarction	EFO:0000612	myocardial infarction	EFO:0008584	Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardian infarction	More General	TRUE	FALSE	FALSE	FALSE	FALSE										
EbSfsJTcqf	Peritonitis	EFO:0008588	peritonitis	EFO:0008588	peritonitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
5f9mE5jr2t	Diseases of spleen	EFO:0009002	splenic disease	EFO:0009002	splenic disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
FR38zELDGb	Typhus fever	EFO:0009117	typhus	EFO:0009117	typhus	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
AgyqJm9AKB	Other diseases of intestine	EFO:0009431	intestinal disease	EFO:0009431	intestinal disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
PvdcEKUxH3	Fibroblastic disorders	EFO:0009432	fibroblastic disorder	EFO:0009432	fibroblastic disorder	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
hcZ7JXFj8t	Unspecified acute lower respiratory infection	HP:0002783	Recurrent lower respiratory tract infections	EFO:0009433	lower respiratory tract disease	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE										
DozJ6hkBUP	Other ill defined and unspecified causes of mortality	EFO:0004352	mortality	EFO:0009434	death by undetermined cause	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE										
LjMt2MwcJ6	Cystitis	EFO:1000025	cystitis	EFO:1000025	cystitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
cg9GRrFivn	Lactose intolerance	EFO:1000062	lactose intolerance	EFO:1000062	lactose intolerance	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
nnjqbQgpVV	Thyroiditis	MONDO:0004126	thyroiditis	EFO:1000627	thyroid disease	More Specific	TRUE	FALSE	FALSE	FALSE	FALSE										
izkRGhMeNg	Acute pancreatitis	EFO:1000652	acute pancreatitis	EFO:1000652	acute pancreatitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
U7vnj86BMT	Acanthosis nigricans	EFO:1000660	acanthosis nigricans	EFO:1000660	acanthosis nigricans	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
K9qUMRxYsL	Allergic contact dermatitis	EFO:1000668	allergic contact dermatitis	EFO:1000668	allergic contact dermatitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
53dYiXP7yo	Cholesteatoma of middle ear	EFO:1000678	cholesteatoma of middle ear	EFO:1000678	cholesteatoma of middle ear	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
87YREuQ7UT	Erythema multiforme	EFO:1000694	erythema multiforme	EFO:1000694	erythema multiforme	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
eB5xGRqEzD	Hyperhidrosis	HP:0000975	Hyperhidrosis	EFO:1000712	hypohidrosis	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE										
7QoZmmVkV5	Impetigo	EFO:1000714	impetigo	EFO:1000714	impetigo	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
zBFtwc3fr8	Irritant contact dermatitis	EFO:1000718	irritant dermatitis	EFO:1000718	irritant dermatitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
vZWyoUCbgj	Lichen planus	EFO:1000726	lichen planus	EFO:1000726	lichen planus	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
XH3ZC23HGR	Parapsoriasis	EFO:1000747	parapsoriasis	EFO:1000747	parapsoriasis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
v7gyd3si7o	Pemphigus	EFO:1000749	pemphigus	EFO:1000749	pemphigus	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
pSpq4Yk9e9	Pityriasis rosea	EFO:1000756	pityriasis rosea	EFO:1000756	pityriasis rosea	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
EcTyfZB3LN	Rosacea	EFO:1000760	rosacea	EFO:1000760	rosacea	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
D6nmgNa4L8	Seborrhoeic dermatitis	EFO:1000764	seborrheic dermatitis	EFO:1000764	seborrheic dermatitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
ube3Ag33hB	Atrophic disorders of skin	EFO:1000766	skin atrophy	EFO:1000766	skin atrophy	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
uZCx7b89yw	Coxarthrosis	EFO:1000786	"osteoarthritis, hip"	EFO:1000786	"osteoarthritis, hip"	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
HonGm9Mq2R	Coalworker s pneumoconiosis	EFO:1000814	anthracosis	EFO:1000814	anthracosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
ggk5eoizZN	Ascorbic acid deficiency	EFO:1000822	ascorbic acid deficiency	EFO:1000822	ascorbic acid deficiency	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
XmrdY2xamE	Bacterial meningitis	EFO:1000831	bacterial meningitis	EFO:1000831	bacterial meningitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
h8Tpw5WdmR	Dysplasia of cervix uteri	EFO:1000910	dysplasia of cervix	EFO:1000910	dysplasia of cervix	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
bJXVJewHYC	Habitual aborter	EFO:1000954	habitual abortion	EFO:1000954	habitual abortion	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
J3rjb8ADdq	Other rickettsioses	EFO:1001162	rickettsiosis	EFO:1001162	rickettsiosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
jd39qTJRRs	Secondary parkinsonism	EFO:1001175	secondary Parkinson disease	EFO:1001175	secondary Parkinson disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
XYDPcg4oRs	Viral meningitis	EFO:1001236	viral meningitis	EFO:1001236	viral meningitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
qkCNnikw6Y	Vitamin A deficiency	EFO:1001237	vitamin A deficiency	EFO:1001237	vitamin A deficiency	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
4jg7kADKxL	Spontaneous abortion	EFO:1001255	spontaneous abortion	EFO:1001255	spontaneous abortion	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
mqFEoz2e6y	Unspecified renal colic	EFO:1001412	renal colic	EFO:1001412	renal colic	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
9pmsmF7RX2	Taeniasis	EFO:1001433	Taeniasis	EFO:1001433	taeniasis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
6sopNAjo5n	Synovitis and tenosynovitis	EFO:1001435	tenosynovitis	EFO:1001435	tenosynovitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
EWXtQpQzza	Schistosomiasis	EFO:1001475	schistosomiasis	EFO:1001475	schistosomiasis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
JWwk55ogHP	Unspecified abortion	EFO:1001491	abortion	EFO:1001491	abortion	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
oyLfP7hxRN	Femoral hernia	EFO:1001791	femoral hernia	EFO:1001791	femoral hernia	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
NF6iWxt7BX	Ventral hernia	EFO:1001866	ventral hernia	EFO:1001866	ventral hernia	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
oFU4ZqqNWM	Amyloidosis	EFO:1001875	amyloidosis	EFO:1001875	amyloidosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
yuqJES9UyN	Cicatricial alopecia	EFO:1002028	cicatricial alopecia	EFO:1002028	cicatrical alopecia	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
xm9dvbZ7F4	Other disorders of nervous system	EFO:0000618	nervous system disease	EFO:0000618	nervous system disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
adRB3JnxNr	Polyuria	HP:0000103	Polyuria	HP:0000103	polyuria	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
CWSv4AWUqs	Pruritus	HP:0000989	Pruritus	HP:0000989	prutitus	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
QmdUF2UHA5	Nausea and vomiting	HP:0002017	Nausea and vomiting	HP:0002017	nausea and vomiting	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
fKbNWz3LhP	Peptic ulcer site unspecified	HP:0004398	Peptic ulcer	HP:0004398	peptic ulcer	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
6eSyohamPK	Erythema nodosum	HP:0012219	Erythema nodosum	HP:0012219	erythema nodosum	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
7qJKvrMkPo	Oesophagitis	HP:0100633	Esophagitis	HP:0100633	esophagitis	Same	TRUE	FALSE	TRUE	FALSE	FALSE										
WZM589XFrA	Common variable immunodeficiency	MONDO:0015517	common variable immunodeficiency	ORDO:1572	common variable immunodeficiency	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
nToHW4TJbw	Adrenogenital disorders	MONDO:0015898	adrenogenital syndrome	ORDO:181412	adrenogenital syndrome	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
E2tXoxeTaN	Sickle cell disorders	MONDO:0011382	sickle cell anemia	ORDO:232	sickle cell anemia	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
dmwJF4oTuW	Congenital malformations of great veins	MONDO:0019755	developmental defect during embryogenesis	ORDO:363189	congenital anomaly of the great veins	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
MRw2DvRTxr	Huntington s disease	MONDO:0007739	Huntington disease	ORDO:399	Huntington disease	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
RF6oqLHscP	Cystic fibrosis	MONDO:0009061	cystic fibrosis	ORDO:586	cystic fibrosis	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
vJQtNF3g8U	Hypertrichosis	MONDO:0019280	hypertrichosis	ORDO:79365	Hypertrichosis	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
r4LQ7QWKup	Sarcoidosis	MONDO:0019338	sarcoidosis	ORDO:797	sarcoidosis	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
ssjbsxwfjD	Turner s syndrome	MONDO:0019499	Turner syndrome	ORDO:881	Turner syndrome	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
SwMGbqEBuu	Congenital malformations of great arteries	MONDO:0020292	congenital anomaly of the great arteries	ORDO:98724	congenital anomaly of the great arteries	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
PvNt2NYZtp	Hereditary factor VIII deficiency	MONDO:0010602	hemophilia A	ORDO:98878	hemophilia A	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
yEB5vpVU8Y	Hereditary factor IX deficiency	MONDO:0010604	hemophilia B	ORDO:98879	hemophilia B	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
8VX82anjBZ	Keratitis	EFO:0009449	keratitis	EFO:0009449	keratitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
aCbYzqL5bp	Conjunctivitis	EFO:0009450	conjunctivitis	EFO:0009450	conjunctivitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
vwW8gEu5SM	Hypoparathyroidism	EFO:0009451	hypoparathyroidism	EFO:0009451	hypoparathyroidism	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
X8Qpfb8Ydj	Hyperaldosteronism	EFO:0009452	hyperaldosteronism	EFO:0009452	hyperaldosteonism	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
nb5q5Tjffn	Hemiplegia	EFO:0009453	hemiplegia	EFO:0009453	hemiplagia	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
BgHPET5PYm	Gastric ulcer	EFO:0009454	gastric ulcer	EFO:0009454	gastric ulcer	Same	TRUE	FALSE	TRUE	FALSE	FALSE										
UocKMYJBxQ	Disorders of lacrimal system	EFO:0009455	lacrimal apparatus disease	EFO:0009455	lacrimal apparatus disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
CHa2e5qTKt	Exfoliative dermatitis	EFO:0009456	exfoliative dermatitis	EFO:0009456	exfoliative dermatitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
tcWFoxvLpm	Apocrine sweat disorders	EFO:1002046	apocrine sweat gland disease	EFO:1002046	apocrine sweat gland disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
N6yMDQ8H4H	Spotted fever	EFO:1002047	spotted fever	EFO:1002047	spotted fever	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
xZzBkzULyL	Unspecified nephritic syndrome	EFO:0004255	nephrotic syndrome	EFO:1002050	nephritis	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE										
ALmCGS9VMc	Facial nerve disorders	EFO:1002051	facial nerve disease	EFO:1002051	facial nerve disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
zHh2F5jmTS	Essential primary hypertension	MONDO:0001134	essential hypertension	EFO:1002032	primary hypertension	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
etUrbBpKme	Unspecified jaundice	HP:0000952	Jaundice	HP:0000952	jaundice	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
ZBCfXviHJi	Iridocyclitis	HP:0001094	Iridocyclitis	HP:0001094	iridocyclitis	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
VxMHJ4p7R6	Hepatic failure	HP:0001399	Hepatic failure	HP:0001399	hepatic failure	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
rYGd9udKmx	Umbilical hernia	HP:0001537	Umbilical hernia	HP:0001537	umbilical hernia	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
jsJiyXo4K9	Polyhydramnios	HP:0001561	Polyhydramnios	HP:0001561	polyhydramnios	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
yhazKRwPoL	cardiac arrest	EFO:0009492	cardiac arrest	EFO:0009492	cardiac arrest	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
EhnXyy7kfL	Abnormality of red blood cells	HP:0001877	Abnormal erythrocyte morphology	HP:0001877	abnormal erythrocyte morphology	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
9Cr2ctCwNv	Hypothermia	HP:0002045	Hypothermia	HP:0002045	hypothermia	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
jqhEGKaQa2	Lymphadenopathy	HP:0002716	Lymphadenopathy	HP:0002716	lymphadenopathy	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
bKKP8K9N5W	Abnormal findings in cerebrospinal fluid	HP:0002921	Abnormal cerebrospinal fluid morphology	HP:0002921	abnormality of the cerebrospinal fluid	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
dDm7vJyDMB	Glycosuria	HP:0003076	Glycosuria	HP:0003076	glycosuria	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
8aNomSb2TB	Abnormality of glycoprotein metabolism	MONDO:0045010	glycoprotein metabolism disease	HP:0004367	abnormality of glycoprotein metabolism	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
9zCPNX6kDu	Abnormality of glycosaminoglycan metabolism	HP:0004371	Abnormality of glycosaminoglycan metabolism	HP:0004371	abnormality of glycosaminoglycan metabolism	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
FS7nWkWBLD	Congenital septal defect	MONDO:0002078	heart septal defect	HP:0001671	Abnormal cardiac septum morphology	Unrelated	FALSE	FALSE	TRUE	FALSE	FALSE										
EwA3DrgHwf	Paroxysmal tachycardia	EFO:0009493	paroxysmal tachycardia	EFO:0009493	paroxysmal tachycardia	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
aBvfbLRWV9	Congenital malformations of anterior segment of eye	HP:0004328	Abnormal anterior eye segment morphology	HP:0007700	Anterior segment developmental abnormality	More General	FALSE	FALSE	TRUE	FALSE	FALSE										
Pod6iFJF5w	Gynecomastia	HP:0000771	Gynecomastia	HP:0010313	breast hypertrophy	Sibling	FALSE	FALSE	TRUE	FALSE	FALSE										
Ws5JSEcqDc	Polydactyly	MONDO:0021003	polydactyly	ORDO:2913	polydactyly	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
J2S5Q7M2sX	Mixed and other personality disorders	MONDO:0002028	personality disorder	HP:0012075	Personality disorder	Unrelated	FALSE	FALSE	TRUE	FALSE	FALSE										
hRru3JBBCk	Acquired pure red cell aplasia	HP:0012410	Pure red cell aplasia	HP:0012410	Pure red cell aplasia	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
bDYiKtA5sJ	Chorioretinitis	MONDO:0004674	chorioretinitis	HP:0012424	chorioretinitis	Unrelated	FALSE	FALSE	TRUE	FALSE	FALSE										
bLs7udbpDZ	Congenital malformations of larynx	MONDO:0019755	developmental defect during embryogenesis	HP:0025423	Abnormal larynx morphology	Unrelated	FALSE	FALSE	TRUE	FALSE	FALSE										
bzvZXnAA6Q	Portal vein thrombosis	HP:0030242	Portal vein thrombosis	HP:0030242	portal vein thrombosis	Same	FALSE	FALSE	TRUE	FALSE	FALSE										
CzUjgfJR3p	Other congenital malformations of ear	EFO:0005269	congenital heart malformation	HP:0031703	Abnormal ear morphology	Unrelated	FALSE	FALSE	TRUE	FALSE	FALSE										
UPsY4t3mBp	Eclampsia	HP:0100601	Eclampsia	HP:0100601	eclampsia	Same	FALSE	FALSE	FALSE	FALSE	FALSE										
8mvNQyyjdK	Other mosquito borne viral fevers	EFO:0007538	viral encephalitis	EFO:0009575	mosquito-borne hemorragic fever	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE										
U6ZYuJfhCj	Fistulae involving female genital tract	EFO:0009524	female genital tract fistula	EFO:0009524	female genital tract fistula	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
Z2Kr354f5E	Multiple gestation	EFO:0009576	multiple gestation	EFO:0009576	multiple gestation	Same	FALSE	FALSE	FALSE	FALSE	TRUE										
JkKGdUUT8x	Postpartum haemorrhage	EFO:0009579	postpartum hemorrhage	EFO:0009579	postpartum hemorrhage	Same	TRUE	FALSE	TRUE	FALSE	FALSE										
ryuoqF83BB	Retained placenta and membranes without haemorrhage	MONDO:0004247	peptic ulcer disease	EFO:0009578	placental retention	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE										
4BmTAtyHgB	Faecal incontinence	EFO:0009523	fecal incontinence	EFO:0009523	fecal incontinence	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
RQ9LXMAGpm	Disturbances of skin sensation	EFO:0009522	disturbance of skin sensation	EFO:0009522	disturbance of skin sensation	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
3SagjFMRGs	Abnormal results of function studies	EFO:0009628	abnormal result of function studies	EFO:0009628		Same	FALSE	FALSE	FALSE	FALSE	FALSE										
n7u2fHP5i6	Injury of heart	EFO:0009506	heart injury	EFO:0009506	heart injury	Same	FALSE	FALSE	FALSE	FALSE	FALSE										
bWFmBZshWY	Fractures involving multiple body regions	EFO:0009513	multiple bone fractures	EFO:0009513	multiple bone fractures	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
fVuE4Biscf	Fracture of upper limb level unspecified	EFO:0009514	upper extremity fracture	EFO:0009514	upper extremity fracture	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
4Qy5ebfzfJ	Fracture of lower limb level unspecified	EFO:0009512	lower extremity fracture	EFO:0009512	lower extremity fracture	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
6LxBgD8Uqn	Other injuries of lower limb level unspecified	HP:0012514	Lower limb pain	EFO:0009508	leg injury	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
meKLjqpmeL	Foreign body in alimentary tract	EFO:0009526	foreign body in gastrointestinal tract	EFO:0009526	foreign body in gastrointestinal tract	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
oMmL6m8yn2	Burns classified according to extent of body surface involved	EFO:0022196	body surface area	EFO:0009516	burn	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE										
rxLZNt97jG	Unspecified fall	EFO:0009631	fall	EFO:0009631		Same	FALSE	FALSE	FALSE	FALSE	TRUE										
dRETjkgc82	Routine general health check up of defined subpopulation	EFO:0009517	checkup	EFO:0009517	checkup	Same	FALSE	FALSE	FALSE	FALSE	TRUE										
huqSrthVFx	Contraceptive management	EFO:0009520	contraception	EFO:0009520	contraception	Same	FALSE	FALSE	FALSE	FALSE	TRUE										
mmEY5y36MQ	Prophylactic surgery	EFO:0009580	prophylactic surgery	EFO:0009580	prophylactic surgery	Same	FALSE	FALSE	FALSE	FALSE	TRUE										
uL3UTmuot7	Care involving use of rehabilitation procedures	EFO:0009581	rehabilitation	EFO:0009581	rehabilitation	Same	FALSE	FALSE	FALSE	FALSE	TRUE										
nL7tpGX2Zj	Disorders of mineral metabolism	EFO:0009556	mineral metabolism disease	EFO:0009556	mineral metabolism disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
GUPtA9HCVS	Other disorders of cornea	EFO:0009464	corneal disease	EFO:0009464	corneal disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
4HywpKVeWc	uremia	EFO:1001226	uremia	EFO:1002048	kidney failure	More Specific	TRUE	FALSE	FALSE	FALSE	FALSE										
Whivf53yiz	Oesophageal varices	EFO:0009545	esophageal varices	EFO:0009545	esophageal varices	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
pmAuukB7yU	Disorders of autonomic nervous system	EFO:0009532	autonomic nervous system disease	EFO:0009532	autonomic nervous system disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
828587enHs	marasmus	EFO:1001033	marasmus	EFO:0009563	protein energy malnutrition	More Specific	TRUE	FALSE	FALSE	FALSE	FALSE										
HyTifXVJBH	Inflammatory disease of uterus except cervix	EFO:0009572	uterine inflammatory disease	EFO:0009572	uterine inflammatory disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
8evRiSASoJ	Disorders of trigeminal nerve	EFO:0009569	trigeminal nerve disease	EFO:0009569	trigeminal nerve disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
Xki9KoxYBQ	Pulmonary valve disorders	EFO:0009564	pulmonary valve disease	EFO:0009564	pulmonary valve disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
xV2KortyHs	Other disorders of tympanic membrane	EFO:0009570	tympanic membrane disease	EFO:0009570	tympanic membrane disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
XYfAeUCQfq	Other diseases of oesophagus	EFO:0009544	esophageal disease	EFO:0009544	esophageal disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
StqvvsvRgu	Other inflammation of eyelid	EFO:0009536	blepharitis	EFO:0009536	blepharitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
2SPBDJMd9Z	Otitis externa	EFO:0009560	otitis externa	EFO:0009560	otitis externa	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
G5NkvyL9vo	Other diseases of biliary tract	EFO:0009534	biliary tract disease	EFO:0009534	biliary tract disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
Z5YnrhxMyB	Haemorrhoids	EFO:0009552	hemorrhoid	EFO:0009552	hemorrhoid	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
TqbjVbSXjZ	HIV disease resulting in malignant neoplasms	MONDO:0004992	cancer	EFO:0009553	HIV-associated cancer	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE										
fMQ9vDXxaV	Anaemia due to enzyme disorders	EFO:0009529	anemia due to enzyme disorder	EFO:0009529	anemia due to enzyme disorder	Same	TRUE	FALSE	TRUE	FALSE	FALSE										
RyLqqkxkrn	Other disorders of peritoneum	EFO:0009541	disease of peritoneum	EFO:0009541	disease of peritoneum	Same	TRUE	FALSE	FALSE	FALSE	FALSE										
hfK23vsjfd	Other headache syndromes	HP:0002315	Headache	EFO:0009550	headache disorder	Unrelated	TRUE	FALSE	FALSE	FALSE	FALSE										
