Source Term ID	Source Term	t2t.Mapping	t2t.MappingLabel	Benchmark.Mapping	Benchmark.MappingLabel	Classification	IsDisease	IsMeasurement	IsPhenotype	IsAmount	IsProcess
MA:0002765	male germ cell	EFO:1000566	Testicular Germ Cell Tumor	EFO:0000984	obsolete_testis	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
WBbt:0005321	obsolete sperm	ORPHANET.ORDO:2816	Spastic paraplegia - epilepsy - intellectual disability	EFO:0000984	obsolete_testis	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001580	ejaculatory duct	EFO:0803321	premature ejaculation	EFO:0000985	obsolete_ejaculatory duct	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
FMA:19325	Ejaculatory duct	EFO:0803321	premature ejaculation	EFO:0000985	obsolete_ejaculatory duct	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001234	seminal vesicle	HP:0200037	Skin vesicle	EFO:0000986	obsolete_seminal vesicle	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
FMA:19386	Seminal vesicle	HP:0200037	Skin vesicle	EFO:0000986	obsolete_seminal vesicle	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000405	penis	MONDO:0001325	penile cancer	EFO:0000987	obsolete_penis	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
FBbt:00004852	aedeagus	EFO:0700083	fetal anticonvulsant syndrome	EFO:0000987	obsolete_penis	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
FMA:9707	Penis	MONDO:0001325	penile cancer	EFO:0000987	obsolete_penis	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
MA:0000408	penis	MONDO:0001325	penile cancer	EFO:0000987	obsolete_penis	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000495	gametophyte	EFO:0000988	gametophyte	EFO:0000988	gametophyte	Same	FALSE	FALSE	FALSE	FALSE	FALSE
PO:0009004	OBSOLETE gametophyte	EFO:0000988	gametophyte	EFO:0000988	gametophyte	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001188	root	EFO:0000989	root structure	EFO:0000989	root structure	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001226	seed	EFO:0000991	seed structure	EFO:0000991	seed structure	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001243	shoot	EFO:0000992	shoot	EFO:0000992	shoot	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000713	leaf	EFO:0001983	leaf component	EFO:0000993	obsolete_leaf	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
PO:0009025	vascular leaf	EFO:0001037	leaf vascular tissue	EFO:0000993	obsolete_leaf	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001276	pollen tube	EFO:0001004	pollen tube	EFO:0001004	pollen tube	Same	FALSE	FALSE	FALSE	FALSE	FALSE
PO:0006345	OBSOLETE pollen tube	EFO:0001004	pollen tube	EFO:0001004	pollen tube	Same	FALSE	FALSE	FALSE	FALSE	FALSE
PO:0000084	plant sperm cell	EFO:0001005	plant sperm	EFO:0001005	plant sperm	Same	FALSE	FALSE	FALSE	FALSE	FALSE
PO:0006308	root lateral meristem	EFO:0001010	lateral root meristem	EFO:0001010	lateral root meristem	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0002615	fascia dentata	MONDO:0004830	fasciitis	EFO:0001011	obsolete_taproot	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000039	root cap	EFO:0000989	root structure	EFO:0001014	obsolete_root cap	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001400	tuber	MONDO:0018076	tuberculosis	EFO:0001015	obsolete_tuber	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
PO:0004543	shoot axis tuber	EFO:0000992	shoot	EFO:0001015	obsolete_tuber	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000170	cambium	EFO:0007530	urinary schistosomiasis	EFO:0001016	obsolete_cambium	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
PO:0006344	shoot lateral meristem	EFO:0001018	lateral shoot meristem	EFO:0001018	lateral shoot meristem	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001152	radicle	MONDO:0021765	radiculitis	EFO:0001019	obsolete_radicle	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000390	endosperm	ORPHANET.ORDO:2816	Spastic paraplegia - epilepsy - intellectual disability	EFO:0001020	obsolete_endosperm	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001227	seed coat	EFO:0000991	seed structure	EFO:0001021	obsolete_seed coat	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000300	cotyledon	EFO:0002383	Toledo	EFO:0001022	obsolete_cotyledon	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001639	bud	EFO:0001294	gastrula bud	EFO:0001023	obsolete_bud	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001040	petal	HP:0002121	Generalized non-motor (absence) seizure	EFO:0001025	obsolete_petal	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001547	sepal	EFO:0010175	EasySep cell separation	EFO:0001026	obsolete_sepal	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000486	fruit	EFO:0010094	grapefruit juice consumption measurement	EFO:0001028	obsolete_fruit	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000628	inflorescence	EFO:0005766	skin fluorescence measurement	EFO:0001029	obsolete_inflorescence	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
PO:0020126	tassel inflorescence	EFO:0005766	skin fluorescence measurement	EFO:0001035	obsolete_female inflorescence	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001300	stem	EFO:1001767	brain stem neoplasm	EFO:0001040	obsolete_stem	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001468	xylem	EFO:0800153	xylose measurement	EFO:0001042	obsolete_xylem	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001058	phloem	EFO:1001395	Phlebitis	EFO:0001044	obsolete_phloem	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000537	nectar	EFO:0001046	nectar	EFO:0001046	nectar	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000159	bulb	EFO:0001048	bulb	EFO:0001048	bulb	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001559	stamen	EFO:0008389	putamen measurement	EFO:0001050	obsolete_stamen	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000072	carpel	EFO:1000491	Primary Effusion Lymphoma	EFO:0001051	obsolete_carpel	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000750	plant ovary	EFO:0003893	ovarian neoplasm	EFO:0001052	obsolete_plant ovary	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
DOID:1024	leprosy	EFO:0001054	leprosy	EFO:0001054	leprosy	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C84824	Leprosy	EFO:0001054	leprosy	EFO:0001054	leprosy	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:1023	borderline leprosy	EFO:0001055	borderline leprosy	EFO:0001055	borderline leprosy	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:1025	tuberculoid leprosy	EFO:0001056	tuberculoid leprosy	EFO:0001056	tuberculoid leprosy	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:10887	lepromatous leprosy	EFO:0001057	lepromatous leprosy	EFO:0001057	lepromatous leprosy	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0050155	sensory system disease	EFO:0001058	sensory system disease	EFO:0001058	sensory system disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:83	cataract	MONDO:0005129	cataract	EFO:0001059	obsolete_cataract	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
DOID:10608	celiac disease	EFO:0001060	celiac disease	EFO:0001060	celiac disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C26714	Celiac Disease	EFO:0001060	celiac disease	EFO:0001060	celiac disease	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:2893	cervix carcinoma	EFO:0001061	cervical carcinoma	EFO:0001061	cervical carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
EFO:0001061	cervical carcinoma	EFO:0001061	cervical carcinoma	EFO:0001061	cervical carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C9039	Cervical Carcinoma	EFO:0001061	cervical carcinoma	EFO:0001061	cervical carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
MONDO:0005132	cytomegalovirus infection	EFO:0001062	cytomegalovirus infection	EFO:0001062	cytomegalovirus infection	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C53649	Cytomegaloviral Infection	EFO:0001062	cytomegalovirus infection	EFO:0001062	cytomegalovirus infection	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:14250	Down syndrome	EFO:0001064	Down syndrome	EFO:0001064	Down syndrome	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C2993	Down Syndrome	EFO:0001064	Down syndrome	EFO:0001064	Down syndrome	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:289	endometriosis	EFO:0001065	endometriosis	EFO:0001065	endometriosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE
HP:0030127	Endometriose	EFO:0001065	endometriosis	EFO:0001065	endometriosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE
MONDO:0005133	endometriosis	EFO:0001065	endometriosis	EFO:0001065	endometriosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C3014	Endometriosis	EFO:0001065	endometriosis	EFO:0001065	endometriosis	Same	TRUE	FALSE	FALSE	FALSE	FALSE
MONDO:0005134	experimental autoimmune encephalomyelitis	EFO:0001066	experimental autoimmune encephalomyelitis	EFO:0001066	experimental autoimmune encephalomyelitis	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:1398	parasitic infectious disease	EFO:0001067	parasitic infection	EFO:0001067	parasitic infection	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C27864	Parasitic Infection	EFO:0001067	parasitic infection	EFO:0001067	parasitic infection	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:12365	malaria	EFO:0001068	malaria	EFO:0001068	malaria	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C34797	Malaria	EFO:0001068	malaria	EFO:0001068	malaria	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:374	nutrition disease	EFO:0001069	nutritional disorder	EFO:0001069	nutritional disorder	Same	TRUE	FALSE	FALSE	FALSE	FALSE
MONDO:0005137	nutritional disorder	EFO:0001069	nutritional disorder	EFO:0001069	nutritional disorder	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C26836	Nutritional Disorder	EFO:0001069	nutritional disorder	EFO:0001069	nutritional disorder	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:3905	lung carcinoma	EFO:0001071	lung carcinoma	EFO:0001071	lung carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C4878	Lung Carcinoma	EFO:0001071	lung carcinoma	EFO:0001071	lung carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:9970	obesity	EFO:0001073	obesity	EFO:0001073	obesity	Same	TRUE	FALSE	FALSE	FALSE	FALSE
HP:0001513	Obesidad	EFO:0001073	obesity	EFO:0001073	obesity	Same	TRUE	FALSE	FALSE	FALSE	FALSE
MONDO:0011122	obesity disorder	EFO:0001073	obesity	EFO:0001073	obesity	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C3283	Obesity	EFO:0001073	obesity	EFO:0001073	obesity	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:11981	morbid obesity	EFO:0001074	morbid obesity	EFO:0001074	morbid obesity	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:4001	ovarian carcinoma	EFO:0001075	ovarian carcinoma	EFO:0001075	ovarian carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
NCIT:C4908	Ovarian Carcinoma	EFO:0001075	ovarian carcinoma	EFO:0001075	ovarian carcinoma	Same	TRUE	FALSE	FALSE	FALSE	FALSE
MONDO:0005141	Pseudomonas infection	EFO:0001076	Pseudomonas infection	EFO:0001076	Pseudomonas infection	Same	TRUE	FALSE	FALSE	FALSE	FALSE
MONDO:0005142	Pseudomonas aeruginosa CF5 infection	EFO:0001077	Pseudomonas aeruginosa CF5 infection	EFO:0001077	Pseudomonas aeruginosa CF5 infection	Same	TRUE	FALSE	FALSE	FALSE	FALSE
MONDO:0005143	Pseudomonas aeruginosa PA14 infection	EFO:0001078	Pseudomonas aeruginosa PA14 infection	EFO:0001078	Pseudomonas aeruginosa PA14 infection	Same	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:1206	Rett syndrome	MONDO:0010726	Rett syndrome	EFO:0001079	obsolete_Rett syndrome	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000018	A-549 cell	EFO:0001086	A549	EFO:0001086	A549	Same	FALSE	FALSE	FALSE	FALSE	FALSE
CLO:0001601	A549 cell	EFO:0001086	A549	EFO:0001086	A549	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0004737	AU-565 cell	EFO:0001087	AU565	EFO:0001087	AU565	Same	FALSE	FALSE	FALSE	FALSE	FALSE
CLO:0001769	AU565 cell	EFO:0001087	AU565	EFO:0001087	AU565	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0002548	BT-549 cell	EFO:0001096	BT549	EFO:0001096	BT549	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000195	CACO-2 cell	EFO:0005176	Coimbra ecotype	EFO:0001099	Caco-2	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
CLO:0002172	Caco-2 cell	EFO:0005176	Coimbra ecotype	EFO:0001099	Caco-2	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0005022	CAMA-1 cell	EFO:0001100	CAMA1	EFO:0001100	CAMA1	Same	FALSE	FALSE	FALSE	FALSE	FALSE
CLO:0003630	HCC1143 cell	EFO:0001169	HCC1143	EFO:0001169	HCC1143	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0006441	HCC-1500 cell	EFO:0001172	HCC1500	EFO:0001172	HCC1500	Same	FALSE	FALSE	FALSE	FALSE	FALSE
CLO:0003639	HCC1500 cell	EFO:0001172	HCC1500	EFO:0001172	HCC1500	Same	FALSE	FALSE	FALSE	FALSE	FALSE
CLO:0003645	HCC1937 cell	EFO:0001174	HCC1937	EFO:0001174	HCC1937	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0005368	HCC-1954 cell	EFO:0001175	HCC1954	EFO:0001175	HCC1954	Same	FALSE	FALSE	FALSE	FALSE	FALSE
CLO:0003647	HCC1954 cell	EFO:0001175	HCC1954	EFO:0001175	HCC1954	Same	FALSE	FALSE	FALSE	FALSE	FALSE
CLO:0003649	HCC202 cell	EFO:0001176	HCC202	EFO:0001176	HCC202	Same	FALSE	FALSE	FALSE	FALSE	FALSE
CLO:0003650	HCC2157 cell	EFO:0001177	HCC2157	EFO:0001177	HCC2157	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000007	HEK-293 cell	EFO:0001182	HEK293	EFO:0001182	HEK293	Same	FALSE	FALSE	FALSE	FALSE	FALSE
CLO:0001230	HEK293	EFO:0001182	HEK293	EFO:0001182	HEK293	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0002181	HEK-293T cell	EFO:0001082	293T	EFO:0001184	HEK293T	Sibling	FALSE	FALSE	FALSE	FALSE	FALSE
CLO:0037372	HEK293T cell	EFO:0001184	HEK293T	EFO:0001184	HEK293T	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000567	HeLa cell	EFO:0001185	HeLa	EFO:0001185	HeLa	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0005736	Hepa-RG cell	EFO:0001186	HepaRG	EFO:0001186	HepaRG	Same	FALSE	FALSE	FALSE	FALSE	FALSE
CLO:0003704	Hep G2 cell	EFO:0005746	G2	EFO:0001187	HepG2	Sibling	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000182	HT-29 cell	EFO:0002200	HT	EFO:0001193	HT-29	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000934	IMR-32 cell	EFO:0001195	IMR-32	EFO:0001195	IMR-32	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001229	IMR-90 cell	EFO:0001196	IMR-90	EFO:0001196	IMR-90	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0002544	MCF-12A cell	EFO:0001202	MCF12A	EFO:0001202	MCF12A	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000093	MCF-7 cell	EFO:0001200	MCF 10A	EFO:0001203	MCF-7	Sibling	FALSE	FALSE	FALSE	FALSE	FALSE
CLO:0007631	MDA-MB-134-VI cell	EFO:0008800	MDA	EFO:0001205	MDAMB134VI	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000815	MDA-MB-231 cell	EFO:0008800	MDA	EFO:0001209	MDAMB231	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001569	MDA-MB-361 cell	EFO:0008800	MDA	EFO:0001211	MDAMB361	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001568	MDA-MB-436 cell	EFO:0008800	MDA	EFO:0001214	MDAMB436	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001908	MDA-MB-453 cell	EFO:0008800	MDA	EFO:0001215	MDAMB453	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001570	MDA-MB-468 cell	EFO:0008800	MDA	EFO:0001216	MDAMB468	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000873	MOLT-4 cell	EFO:0005265	MOLT-3	EFO:0001220	MOLT-4	Sibling	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0002416	NCI-H929 cell	EFO:0001221	NCI-H929	EFO:0001221	NCI-H929	Same	FALSE	FALSE	FALSE	FALSE	FALSE
CLO:0008172	NIH-3T3 cell	EFO:0001222	NIH3T3	EFO:0001222	NIH3T3	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001677	SCHNEIDER-2 cell	EFO:0001233	S2	EFO:0001233	S2	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0002419	SK-BR-3 cell	EFO:0005720	SK-MEL-5	EFO:0001236	SKBR3	Sibling	FALSE	FALSE	FALSE	FALSE	FALSE
CLO:0037295	SKBR3 cell	EFO:0001236	SKBR3	EFO:0001236	SKBR3	Same	FALSE	FALSE	FALSE	FALSE	FALSE
CLO:0009916	SUM1315MO2 cell	EFO:0001239	SUM1315MO2	EFO:0001239	SUM1315MO2	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0005475	SUM-149PT cell	EFO:0001240	SUM149PT	EFO:0001240	SUM149PT	Same	FALSE	FALSE	FALSE	FALSE	FALSE
CLO:0009917	SUM149PT cell	EFO:0001240	SUM149PT	EFO:0001240	SUM149PT	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0004928	SUM-159PT cell	EFO:0001241	SUM159PT	EFO:0001241	SUM159PT	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0005476	SUM-185PE cell	EFO:0001242	SUM185PE	EFO:0001242	SUM185PE	Same	FALSE	FALSE	FALSE	FALSE	FALSE
CLO:0009919	SUM185PE cell	EFO:0001242	SUM185PE	EFO:0001242	SUM185PE	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0005390	SUM-52PE cell	EFO:0001246	SUM52PE	EFO:0001246	SUM52PE	Same	FALSE	FALSE	FALSE	FALSE	FALSE
CLO:0037189	SUM52PE cell	EFO:0001246	SUM52PE	EFO:0001246	SUM52PE	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001370	THP-1 cell	MONDO:0017853	hypersensitivity pneumonitis	EFO:0001253	THP-1	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0001594	U-266 cell	EFO:0001254	U266	EFO:0001254	U266	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0002126	U-373MG cell	EFO:0001255	U373	EFO:0001255	U373	Same	FALSE	FALSE	FALSE	FALSE	FALSE
CLO:0009460	U373 MG cell	EFO:0001255	U373	EFO:0001255	U373	Same	FALSE	FALSE	FALSE	FALSE	FALSE
CLO:0009465	U-937 cell	EFO:0001257	U937	EFO:0001257	U937	Same	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0000458	WI-38 cell	MONDO:0014502	Mendelian susceptibility to mycobacterial diseases due to complete ISG15 deficiency	EFO:0001260	WI38	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
CLO:0009591	WI 38 cell	MONDO:0014502	Mendelian susceptibility to mycobacterial diseases due to complete ISG15 deficiency	EFO:0001260	WI38	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
CLO:0009594	WI-38 cell	MONDO:0014502	Mendelian susceptibility to mycobacterial diseases due to complete ISG15 deficiency	EFO:0001260	WI38	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
BTO:0003136	ZR-75-1 cell	MONDO:0030858	immunodeficiency 75	EFO:0001262	ZR751	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
PATO:0001345	h minus	EFO:0001269	mating type h minus	EFO:0001269	mating type h minus	Same	FALSE	FALSE	FALSE	FALSE	FALSE
PATO:0001344	alpha mating type (yeast)	EFO:0001270	mating type alpha	EFO:0001270	mating type alpha	Same	FALSE	FALSE	FALSE	FALSE	FALSE
PATO:0001338	mixed sex	EFO:0001271	mixed sex population	EFO:0001271	mixed sex population	Same	FALSE	FALSE	FALSE	FALSE	FALSE
FBdv:00005369	adult stage	EFO:0001272	adult	EFO:0001272	adult	Same	FALSE	FALSE	FALSE	FALSE	TRUE
WBls:0000041	adult Ce	EFO:0001272	adult	EFO:0001272	adult	Same	FALSE	FALSE	FALSE	FALSE	TRUE
XAO:1000009	obsolete frog	EFO:0022441	TGW cell	EFO:0001272	adult	Unrelated	FALSE	FALSE	FALSE	FALSE	TRUE
ZFS:0000008	Blastula:128-cell	EFO:0001273	blastula 128-cell	EFO:0001273	blastula 128-cell	Same	FALSE	FALSE	FALSE	FALSE	TRUE
ZFS:0000011	Blastula:1k-cell	EFO:0001274	blastula 1k-cell	EFO:0001274	blastula 1k-cell	Same	FALSE	FALSE	FALSE	FALSE	TRUE
PATO:0001341	a mating type (yeast)	EFO:0001275	mating type a	EFO:0001275	mating type a	Same	FALSE	FALSE	FALSE	FALSE	FALSE
ZFS:0000009	Blastula:256-cell	EFO:0001276	blastula 256-cell	EFO:0001276	blastula 256-cell	Same	FALSE	FALSE	FALSE	FALSE	TRUE
ZFS:0000016	Blastula:30%-epiboly	EFO:0001277	blastula 30%-epiboly	EFO:0001277	blastula 30%-epiboly	Same	FALSE	FALSE	FALSE	FALSE	TRUE
ZFS:0000010	Blastula:512-cell	EFO:0001278	blastula 512-cell	EFO:0001278	blastula 512-cell	Same	FALSE	FALSE	FALSE	FALSE	TRUE
ZFS:0000015	Blastula:Dome	EFO:0001279	blastula dome	EFO:0001279	blastula dome	Same	FALSE	FALSE	FALSE	FALSE	TRUE
ZFS:0000012	Blastula:High	EFO:0001280	blastula high	EFO:0001280	blastula high	Same	FALSE	FALSE	FALSE	FALSE	TRUE
ZFS:0000013	Blastula:Oblong	EFO:0001281	blastula oblong	EFO:0001281	blastula oblong	Same	FALSE	FALSE	FALSE	FALSE	TRUE
FBdv:00005304	blastoderm stage	EFO:0004928	T stage	EFO:0001282	obsolete_blastula stage	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
WBls:0000005	blastula embryo Ce	EFO:0005858	C. elegans embryo stage	EFO:0001282	obsolete_blastula stage	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
XAO:1000003	blastula stage	EFO:0001279	blastula dome	EFO:0001282	obsolete_blastula stage	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
ZFS:0000014	Blastula:Sphere	EFO:0001283	blastula sphere	EFO:0001283	blastula sphere	Same	FALSE	FALSE	FALSE	FALSE	TRUE
ZFS:0000005	Cleavage:16-cell	EFO:0001284	cleavage 16-cell	EFO:0001284	cleavage 16-cell	Same	FALSE	FALSE	FALSE	FALSE	TRUE
ZFS:0000002	Cleavage:2-cell	EFO:0001285	cleavage 2-cell	EFO:0001285	cleavage 2-cell	Same	FALSE	FALSE	FALSE	FALSE	TRUE
ZFS:0000006	Cleavage:32-cell	EFO:0001286	cleavage 32-cell	EFO:0001286	cleavage 32-cell	Same	FALSE	FALSE	FALSE	FALSE	TRUE
ZFS:0000003	Cleavage:4-cell	EFO:0001285	cleavage 2-cell	EFO:0001287	cleavage 4-cell	Sibling	FALSE	FALSE	FALSE	FALSE	TRUE
ZFS:0000007	Cleavage:64-cell	EFO:0001288	cleavage 64-cell	EFO:0001288	cleavage 64-cell	Same	FALSE	FALSE	FALSE	FALSE	TRUE
ZFS:0000004	Cleavage:8-cell	EFO:0001285	cleavage 2-cell	EFO:0001289	cleavage 8-cell	Sibling	FALSE	FALSE	FALSE	FALSE	TRUE
ZFS:0000017	Gastrula:50%-epiboly	EFO:0001291	gastrula 50%-epiboly	EFO:0001291	gastrula 50%-epiboly	Same	FALSE	FALSE	FALSE	FALSE	TRUE
ZFS:0000020	Gastrula:75%-epiboly	EFO:0001292	gastrula 75%-epiboly	EFO:0001292	gastrula 75%-epiboly	Same	FALSE	FALSE	FALSE	FALSE	TRUE
ZFS:0000021	Gastrula:90%-epiboly	EFO:0001293	gastrula 90%-epiboly	EFO:0001293	gastrula 90%-epiboly	Same	FALSE	FALSE	FALSE	FALSE	TRUE
ZFS:0000022	Gastrula:Bud	EFO:0001294	gastrula bud	EFO:0001294	gastrula bud	Same	FALSE	FALSE	FALSE	FALSE	TRUE
ZFS:0000018	Gastrula:Germ-ring	EFO:0001295	gastrula germ-ring	EFO:0001295	gastrula germ-ring	Same	FALSE	FALSE	FALSE	FALSE	TRUE
FBdv:00005317	gastrula stage	EFO:0001294	gastrula bud	EFO:0001296	obsolete_gastrula stage	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
WBls:0000010	gastrulating embryo Ce	EFO:0005503	gastrulating embryo Ce	EFO:0001296	obsolete_gastrula stage	Same	FALSE	FALSE	FALSE	FALSE	FALSE
XAO:1000005	gastrula stage	EFO:0001294	gastrula bud	EFO:0001296	obsolete_gastrula stage	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
ZFS:0000019	Gastrula:Shield	EFO:0001297	gastrula shield	EFO:0001297	gastrula shield	Same	FALSE	FALSE	FALSE	FALSE	TRUE
ZFS:0000033	Hatching:Long-pec	EFO:0002718	hatching long-pec	EFO:0001298	hatching stage	Same	FALSE	FALSE	FALSE	FALSE	TRUE
ZFS:0000034	Hatching:Pec-fin	EFO:0001299	hatching pec-fin	EFO:0001299	hatching pec-fin	Same	FALSE	FALSE	FALSE	FALSE	TRUE
XAO:1000010	juvenile frog stage	EFO:0000557	juvenile dermatomyositis	EFO:0001300	obsolete_juvenile stage	Unrelated	FALSE	FALSE	FALSE	FALSE	FALSE
